tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,fBodyAcc-mean()-X,label
0.8338,0.895,0.4734,0.143,0.3128,0.8201,0.6279,0.2639,0.18,0.293,1
0.8888,0.5058,0.6023,0.3419,0.2592,0.0901,0.5096,0.6877,0.8914,0.2925,1
0.8935,0.2066,0.9618,0.4569,0.0512,0.3023,0.7746,0.5145,0.7116,0.7573,1
1.0869,0.9862,0.3362,0.5104,0.0096,0.5882,0.5319,0.6761,0.5461,0.1361,1
0.6388,0.2985,1.3233,0.2761,0.2153,-0.2087,0.0759,0.3642,0.6451,0.5374,1
0.6935,0.3221,1.2555,0.1088,-0.0411,0.4539,0.2176,0.6892,0.6964,0.2904,1
0.7309,0.5223,0.5123,-0.5238,-0.1488,0.3087,0.0266,0.4448,0.4719,0.7047,1
0.4073,0.5545,0.7773,1.1661,0.7028,1.3599,0.6692,1.1323,0.9512,1.2313,5
1.1039,0.7205,0.7491,0.1134,0.0169,-0.1114,1.1081,0.1505,-0.3524,0.7975,1
0.9892,0.4038,0.9588,0.1665,0.0396,0.4593,0.6271,0.4747,0.892,0.529,1
0.6516,0.1592,0.7511,0.3161,0.1876,0.5479,0.3394,0.6889,0.647,0.4152,1
1.2924,-0.0087,0.6911,0.0576,0.1895,1.0578,0.0218,0.5223,0.6039,0.3366,1
0.8813,0.0458,0.9991,0.1242,-0.1539,0.4773,0.6504,0.3911,0.1645,0.2484,1
0.6049,0.4573,0.4056,-0.2837,0.5983,0.3592,0.1375,0.1395,0.2004,0.1831,1
-0.3281,0.8233,0.6332,0.5102,0.6103,0.4748,1.1224,0.5517,0.7819,1.0666,2
0.5126,0.3708,0.4422,0.3361,-0.0111,0.3081,0.5963,0.7653,0.0604,0.6278,1
0.5123,0.4715,0.5514,-0.1921,0.2805,-0.2245,0.8346,0.6165,0.8697,0.498,1
0.814,0.9219,0.6915,0.8634,0.1658,0.3809,0.3023,0.766,0.6036,0.1535,1
0.2213,0.4926,0.8295,0.3563,-0.0876,0.0878,0.4241,-0.1803,0.2283,0.7323,1
0.2203,0.4379,1.2073,0.6147,0.4781,0.2593,0.1066,1.4626,0.4931,0.3747,1
1.0931,0.7448,0.7204,0.0736,0.1566,0.2586,0.3006,0.3441,0.1038,0.2674,1
0.3253,0.5244,1.0051,0.9966,0.8087,1.0682,0.6975,0.5612,0.488,0.6602,3
0.3395,0.7285,0.1789,-0.1679,0.4947,0.4753,0.0238,0.6243,0.803,-0.0313,1
0.2465,0.1383,0.4076,-0.1167,0.0568,-0.1316,0.5197,1.2685,0.0876,0.5721,1
0.95,-0.1887,0.7339,0.3977,0.1006,0.5395,0.3696,0.7062,0.2846,0.2599,1
0.3666,1.1803,0.684,0.0662,0.7831,0.7715,0.4419,0.4048,0.1806,0.6695,1
0.5029,0.2879,0.9522,0.3202,0.1846,0.8795,0.7587,0.9726,0.5254,0.6851,1
0.5498,0.7885,1.0135,0.2776,-0.1834,0.4606,0.4645,0.7823,0.2209,0.4586,1
1.2879,1.6072,1.3344,0.8173,1.1297,0.6133,0.9513,0.9421,1.3981,0.9003,4
0.5318,0.2883,1.0757,0.418,0.4138,0.4443,-0.1099,0.7809,0.2894,0.4177,1
0.7445,-0.0387,0.6064,0.3825,0.3165,0.5816,0.297,0.5314,0.5867,-0.2468,1
1.1546,0.2181,1.0939,0.4437,0.7629,0.6115,0.4902,0.0938,0.4398,0.3974,1
0.7632,0.1242,0.4536,0.1678,0.2844,0.0409,0.4654,0.8779,0.2749,0.7024,1
0.6888,0.4267,1.0273,0.5481,0.1149,0.1249,0.487,0.7036,0.7412,0.3811,1
0.416,0.1041,0.7767,0.5179,0.5385,0.143,0.1143,0.8502,0.3492,-0.0623,1
1.4955,1.4656,1.1195,1.084,0.5783,1.3962,0.7715,0.8662,0.7122,0.7611,6
0.9074,0.9981,0.9279,-0.2119,0.11,0.1103,0.6121,-0.0379,-0.2418,0.1639,1
0.8931,0.4444,1.3584,0.148,0.2123,0.2566,0.2528,0.9317,0.0063,-0.0141,1
0.4925,0.3581,1.0373,0.2433,0.3504,0.1618,0.8817,0.5953,0.4788,-0.186,1
0.8108,0.3088,0.9655,0.5521,0.3628,0.6365,0.613,0.3389,0.4477,0.3515,1
0.25,0.684,1.1379,0.473,0.2347,0.4385,0.828,0.4398,0.6848,0.0793,1
0.7593,0.655,0.3184,0.5967,0.2655,-0.1962,0.3662,0.414,0.1354,0.4243,1
0.3648,0.5154,0.3769,0.3217,0.7443,0.4237,0.0372,0.3206,0.359,-0.1843,1
0.8915,0.488,0.6796,0.4161,-0.003,-0.04,-0.4257,0.1177,0.4705,0.5036,1
0.5454,-0.0461,0.5997,0.4109,-0.1854,0.7082,0.1662,0.6003,0.0756,0.5702,1
0.2244,0.2325,1.0316,0.0252,0.039,0.4611,0.606,0.0783,0.5797,0.2129,1
0.9635,-0.0159,0.9277,0.5201,0.0874,0.1744,0.6149,0.3946,0.2964,0.0711,1
0.6405,0.7002,0.226,0.4072,0.2916,0.7476,0.2787,0.9736,0.2671,0.4448,1
0.6654,0.5802,0.5975,0.1075,0.6421,0.7325,0.4651,0.5487,0.3363,-0.0981,1
0.4683,0.8224,0.9822,0.9317,0.8205,0.4781,0.7161,1.0067,1.0133,0.6738,5
0.2528,0.5963,0.7878,0.9222,0.6273,0.3536,0.2962,0.6593,0.0608,0.0942,1
0.8977,0.6806,0.9734,0.8628,0.0756,0.537,0.5203,0.692,0.4667,0.4586,1
0.1866,0.0908,0.7265,0.5436,0.0548,0.2681,0.0799,0.8846,0.535,0.7453,1
0.4773,0.4696,0.719,0.8053,0.3666,0.4151,0.0093,0.3432,-0.0391,0.2433,1
0.8543,0.5145,0.4245,1.0037,-0.1288,0.7104,0.8443,0.6754,0.8,-0.0249,1
0.4331,0.4087,0.8094,0.3453,0.7064,0.1858,0.4302,0.2377,0.5409,0.5349,1
0.0744,0.0243,0.086,0.9455,0.7331,0.4813,1.0241,0.6431,0.5338,0.1161,2
0.7523,0.7078,1.0366,0.6861,-0.0037,0.3769,0.0775,1.0269,-0.0098,0.5083,1
0.3638,0.2556,0.4324,0.301,0.3117,0.6321,0.4098,0.8529,0.6576,0.9115,1
0.421,0.5905,0.9042,0.4413,0.3842,0.1,0.3919,0.4117,0.2081,0.0338,1
0.5686,0.1335,0.5276,0.5716,-0.27,-0.0163,0.3769,0.2797,0.1006,0.8568,1
0.6957,0.3614,0.4781,-0.0658,-0.1483,-0.3919,0.6634,0.4446,0.6673,0.2945,1
0.0021,1.0628,0.8495,0.6612,0.0316,0.1297,0.4431,1.1304,0.0235,-0.0216,1
0.651,-0.1894,1.1384,0.5537,1.1496,0.5524,0.3921,0.6562,1.1296,0.5161,3
